sample,contig_name,contig_length,read_count,nr,nt_or_nr,bitscore,align_length,taxon_group_blast,tax_id,identity,sci_name,com_names,lca_taxid,lca_taxid.1,lca_name,common_nr,phylum,family,chordata,blasted,cluster,taxid_curated,poly_group,name,provisional_name,segment,curated,rdrp,taxon_group,taxid,ska_genus,ska_species,collected_by,idseq_nonhost_reads,hex_read_count,contaminating_and_hex_reads,nonhost_reads,total_reads,read_prop,identity_qcov,group,baltimore_group,genome_description,number_of_segments_conventional
SENONOWISUGOT004_RS_S77_673661,SENONOWISUGOT004_RS_S77_673661_NODE_1_length_17713_cov_8.729531,17713,3855,TRUE,nr,2667,1306,Viruses,190064,99.5,Fowl aviadenovirus D,QGQ62975.1 DNA polymerase [Fowl aviadenovirus D],190064,190064,Fowl aviadenovirus D,TRUE,Preplasmiviricota,Adenoviridae,FALSE,TRUE,62,190064,180,Fowl aviadenovirus D,,hypothetical,TRUE,FALSE,Viruses,190064,Caprine,Goat,Ondo,32322646,186887,237422,32085224,57339964,0.000120149,,Virus,I,double stranded DNA,
SENONOWISUGOT004_RS_S77_673661,SENONOWISUGOT004_RS_S77_673661_NODE_1_length_17713_cov_8.729531,17713,3855,TRUE,nr,2667,1306,Viruses,190064,99.5,Fowl aviadenovirus D,QGQ62975.1 DNA polymerase [Fowl aviadenovirus D],190064,190064,Fowl aviadenovirus D,TRUE,Preplasmiviricota,Adenoviridae,FALSE,TRUE,62,190064,180,Fowl aviadenovirus D,,Pol,TRUE,FALSE,Viruses,190064,Caprine,Goat,Ondo,32322646,186887,237422,32085224,57339964,0.000120149,,Virus,I,double stranded DNA,
SENONOWISUGOT004_RS_S77_673661,SENONOWISUGOT004_RS_S77_673661_NODE_3_length_10793_cov_14.136618,10793,3822,TRUE,nr,1673,866,Viruses,190064,98.2,Fowl aviadenovirus D,QGQ63200.1 100 kDa protein [Fowl aviadenovirus D],,,,TRUE,Preplasmiviricota,Adenoviridae,FALSE,TRUE,221,1354736,177,Fowl adenovirus,,hypothetical,TRUE,FALSE,Viruses,1354736,Caprine,Goat,Ondo,32322646,186887,237422,32085224,57339964,0.00011912,,Virus,I,double stranded DNA,
SENONOWISUGOT004_RS_S77_673661,SENONOWISUGOT004_RS_S77_673661_NODE_3_length_10793_cov_14.136618,10793,3822,TRUE,nr,1673,866,Viruses,190064,98.2,Fowl aviadenovirus D,QGQ63200.1 100 kDa protein [Fowl aviadenovirus D],,,,TRUE,Preplasmiviricota,Adenoviridae,FALSE,TRUE,221,190064,180,Fowl aviadenovirus D,,hypothetical,TRUE,FALSE,Viruses,190064,Caprine,Goat,Ondo,32322646,186887,237422,32085224,57339964,0.00011912,,Virus,I,double stranded DNA,
SENONOWISUGOT004_RS_S77_673661,SENONOWISUGOT004_RS_S77_673661_NODE_6_length_6802_cov_10.731450,6802,1871,TRUE,nr,1906,950,Viruses,190064,98.7,Fowl aviadenovirus D,QGQ63054.1 hexon protein [Fowl aviadenovirus D],,,,TRUE,Preplasmiviricota,Adenoviridae,FALSE,TRUE,736,190064,180,Fowl aviadenovirus D,,DNA_pol,TRUE,FALSE,Viruses,190064,Caprine,Goat,Ondo,32322646,186887,237422,32085224,57339964,5.83E-05,,Virus,I,double stranded DNA,
SENONOWISUGOT004_RS_S77_673661,SENONOWISUGOT004_RS_S77_673661_NODE_6_length_6802_cov_10.731450,6802,1871,TRUE,nr,1906,950,Viruses,190064,98.7,Fowl aviadenovirus D,QGQ63054.1 hexon protein [Fowl aviadenovirus D],,,,TRUE,Preplasmiviricota,Adenoviridae,FALSE,TRUE,736,190064,180,Fowl aviadenovirus D,,hypothetical,TRUE,FALSE,Viruses,190064,Caprine,Goat,Ondo,32322646,186887,237422,32085224,57339964,5.83E-05,,Virus,I,double stranded DNA,
SENONOWISUGOT004_RS_S77_673661,SENONOWISUGOT004_RS_S77_673661_NODE_9_length_5476_cov_12.848120,5476,1826,TRUE,nr,707,347,Viruses,1354736,100,Fowl adenovirus,QFR45480.1 hypothetical protein [Fowl adenovirus],1354736,1354736,Fowl adenovirus,TRUE,Preplasmiviricota,Adenoviridae,FALSE,TRUE,1239,1354736,177,Fowl adenovirus,,hypothetical,TRUE,FALSE,Viruses,1354736,Caprine,Goat,Ondo,32322646,186887,237422,32085224,57339964,5.69E-05,,Virus,I,double stranded DNA,
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_4_length_4821_cov_6.293423,4821,709,TRUE,nr,813,570,Viruses,1354736,99.6,Fowl adenovirus,CUT98186.1 fiber protein [Fowl adenovirus],1354736,1354736,Fowl adenovirus,TRUE,Preplasmiviricota,Adenoviridae,FALSE,TRUE,221,1354736,177,Fowl adenovirus,,hypothetical,TRUE,FALSE,Viruses,1354736,Caprine,Goat,Ondo,17869036,313482,391748,17477288,33879770,4.06E-05,,Virus,I,double stranded DNA,
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_4_length_4821_cov_6.293423,4821,709,TRUE,nr,813,570,Viruses,1354736,99.6,Fowl adenovirus,CUT98186.1 fiber protein [Fowl adenovirus],1354736,1354736,Fowl adenovirus,TRUE,Preplasmiviricota,Adenoviridae,FALSE,TRUE,221,190064,180,Fowl aviadenovirus D,,hypothetical,TRUE,FALSE,Viruses,190064,Caprine,Goat,Ondo,17869036,313482,391748,17477288,33879770,4.06E-05,,Virus,I,double stranded DNA,
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_6_length_4724_cov_4.101571,4724,452,TRUE,nr,1956,975,Viruses,190064,98.5,Fowl aviadenovirus D,QGQ62975.1 DNA polymerase [Fowl aviadenovirus D],,,,TRUE,Preplasmiviricota,Adenoviridae,FALSE,TRUE,62,28282,178,Fowl aviadenovirus 2,,hypothetical,TRUE,FALSE,Viruses,28282,Caprine,Goat,Ondo,17869036,313482,391748,17477288,33879770,2.59E-05,,Virus,I,double stranded DNA,
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_6_length_4724_cov_4.101571,4724,452,TRUE,nr,1956,975,Viruses,190064,98.5,Fowl aviadenovirus D,QGQ62975.1 DNA polymerase [Fowl aviadenovirus D],,,,TRUE,Preplasmiviricota,Adenoviridae,FALSE,TRUE,62,190064,180,Fowl aviadenovirus D,,DNA_pol,TRUE,FALSE,Viruses,190064,Caprine,Goat,Ondo,17869036,313482,391748,17477288,33879770,2.59E-05,,Virus,I,double stranded DNA,
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_6_length_4724_cov_4.101571,4724,452,TRUE,nr,1956,975,Viruses,190064,98.5,Fowl aviadenovirus D,QGQ62975.1 DNA polymerase [Fowl aviadenovirus D],,,,TRUE,Preplasmiviricota,Adenoviridae,FALSE,TRUE,62,190064,180,Fowl aviadenovirus D,,hypothetical,TRUE,FALSE,Viruses,190064,Caprine,Goat,Ondo,17869036,313482,391748,17477288,33879770,2.59E-05,,Virus,I,double stranded DNA,
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_6_length_4724_cov_4.101571,4724,452,TRUE,nr,1956,975,Viruses,190064,98.5,Fowl aviadenovirus D,QGQ62975.1 DNA polymerase [Fowl aviadenovirus D],,,,TRUE,Preplasmiviricota,Adenoviridae,FALSE,TRUE,62,190064,180,Fowl aviadenovirus D,,Pol,TRUE,FALSE,Viruses,190064,Caprine,Goat,Ondo,17869036,313482,391748,17477288,33879770,2.59E-05,,Virus,I,double stranded DNA,
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_8_length_4483_cov_4.898547,4483,560,TRUE,nr,707,347,Viruses,1354736,100,Fowl adenovirus,QFR45480.1 hypothetical protein [Fowl adenovirus],1354736,1354736,Fowl adenovirus,TRUE,Preplasmiviricota,Adenoviridae,FALSE,TRUE,1968,1354736,177,Fowl adenovirus,,hypothetical,TRUE,FALSE,Viruses,1354736,Caprine,Goat,Ondo,17869036,313482,391748,17477288,33879770,3.20E-05,,Virus,I,double stranded DNA,
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_9_length_4473_cov_3.274568,4473,366,TRUE,nr,726,362,Viruses,190064,99.7,Fowl aviadenovirus D,QGQ62972.1 ORF13 [Fowl aviadenovirus D],190064,190064,Fowl aviadenovirus D,TRUE,Preplasmiviricota,Adenoviridae,FALSE,TRUE,1983,190064,180,Fowl aviadenovirus D,,hypothetical,TRUE,FALSE,Viruses,190064,Caprine,Goat,Ondo,17869036,313482,391748,17477288,33879770,2.09E-05,,Virus,I,double stranded DNA,
AINWZR019_LIV_S19_663082,AINWZR019_LIV_S19_663082_NODE_1_length_3087_cov_22.280066,3087,757,TRUE,nr,919,483,Viruses,573199,88.8,Murine adenovirus 3,YP_002822216.1 hexon [Murine adenovirus 3],573199,573199,Murine adenovirus 3,TRUE,Preplasmiviricota,Adenoviridae,FALSE,TRUE,4530,573199,186,Murine adenovirus 3,,Integrase,TRUE,FALSE,Viruses,573199,Rat,Rodent,Ebonyi ,99876,4500,4550,95326,23682302,0.00794117,,Virus,I,double stranded DNA,
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_30_length_2680_cov_6.008836,2680,397,TRUE,nr,1752,874,Viruses,190064,98.6,Fowl aviadenovirus D,QGQ63054.1 hexon protein [Fowl aviadenovirus D],,,,TRUE,Preplasmiviricota,Adenoviridae,FALSE,TRUE,6383,190064,180,Fowl aviadenovirus D,,hypothetical,TRUE,FALSE,Viruses,190064,Caprine,Goat,Ondo,17869036,313482,391748,17477288,33879770,2.27E-05,,Virus,I,double stranded DNA,
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_34_length_2551_cov_4.131366,2551,250,TRUE,nr,1450,732,Viruses,190064,98.9,Fowl aviadenovirus D,AIS19833.1 ORF19 [Fowl aviadenovirus D],,,,TRUE,Preplasmiviricota,Adenoviridae,FALSE,TRUE,221,1354736,177,Fowl adenovirus,,hypothetical,TRUE,FALSE,Viruses,1354736,Caprine,Goat,Ondo,17869036,313482,391748,17477288,33879770,1.43E-05,,Virus,I,double stranded DNA,
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_34_length_2551_cov_4.131366,2551,250,TRUE,nr,1450,732,Viruses,190064,98.9,Fowl aviadenovirus D,AIS19833.1 ORF19 [Fowl aviadenovirus D],,,,TRUE,Preplasmiviricota,Adenoviridae,FALSE,TRUE,221,190064,180,Fowl aviadenovirus D,,hypothetical,TRUE,FALSE,Viruses,190064,Caprine,Goat,Ondo,17869036,313482,391748,17477288,33879770,1.43E-05,,Virus,I,double stranded DNA,
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_35_length_2544_cov_4.707337,2544,301,TRUE,nr,1588,810,Viruses,190064,99.4,Fowl aviadenovirus D,QGQ63200.1 100 kDa protein [Fowl aviadenovirus D],,,,TRUE,Preplasmiviricota,Adenoviridae,FALSE,TRUE,7153,190064,180,Fowl aviadenovirus D,,hypothetical,TRUE,FALSE,Viruses,190064,Caprine,Goat,Ondo,17869036,313482,391748,17477288,33879770,1.72E-05,,Virus,I,double stranded DNA,
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_46_length_2239_cov_3.986124,2239,224,TRUE,nr,953,551,Viruses,190064,92.2,Fowl aviadenovirus D,QGQ63270.1 DNA-binding protein [Fowl aviadenovirus D],190064,190064,Fowl aviadenovirus D,TRUE,Preplasmiviricota,Adenoviridae,FALSE,TRUE,736,190064,180,Fowl aviadenovirus D,,DNA_pol,TRUE,FALSE,Viruses,190064,Caprine,Goat,Ondo,17869036,313482,391748,17477288,33879770,1.28E-05,,Virus,I,double stranded DNA,
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_46_length_2239_cov_3.986124,2239,224,TRUE,nr,953,551,Viruses,190064,92.2,Fowl aviadenovirus D,QGQ63270.1 DNA-binding protein [Fowl aviadenovirus D],190064,190064,Fowl aviadenovirus D,TRUE,Preplasmiviricota,Adenoviridae,FALSE,TRUE,736,190064,180,Fowl aviadenovirus D,,hypothetical,TRUE,FALSE,Viruses,190064,Caprine,Goat,Ondo,17869036,313482,391748,17477288,33879770,1.28E-05,,Virus,I,double stranded DNA,
AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_31_length_2126_cov_2.468521,2126,151,TRUE,nr,298,137,Viruses,28282,99.3,Human adenovirus 12,WRT27628.1 control protein E4 34K [Human adenovirus 12],28282,28282,Human adenovirus 12,TRUE,Preplasmiviricota,Adenoviridae,FALSE,TRUE,10596,190064,182,Human adenovirus 12,,Integrase,TRUE,FALSE,Viruses,190064,Caprine,Goat,Ebonyi ,11109452,93517,179659,10929793,24738340,1.38E-05,,Virus,I,double stranded DNA,
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_56_length_2085_cov_4.170319,2085,229,TRUE,nr,1129,570,Viruses,190064,99.8,Fowl aviadenovirus D,AIS19822.1 pIII [Fowl aviadenovirus D],190064,190064,Fowl aviadenovirus D,TRUE,Preplasmiviricota,Adenoviridae,FALSE,TRUE,11088,190064,180,Fowl aviadenovirus D,,hypothetical,TRUE,FALSE,Viruses,190064,Caprine,Goat,Ondo,17869036,313482,391748,17477288,33879770,1.31E-05,,Virus,I,double stranded DNA,
AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_47_length_1747_cov_2.508982,1747,135,TRUE,nr,958,491,Viruses,28282,98.4,Human adenovirus 12,WOZ23448.1 hexon assembly protein 100K [Human adenovirus 12],28282,28282,Human adenovirus 12,TRUE,Preplasmiviricota,Adenoviridae,FALSE,TRUE,16477,190064,182,Human adenovirus 12,,hypothetical,TRUE,FALSE,Viruses,190064,Caprine,Goat,Ebonyi ,11109452,93517,179659,10929793,24738340,1.24E-05,,Virus,I,double stranded DNA,
AINWZDOG001_S37_657734,AINWZDOG001_S37_657734_NODE_152_length_1566_cov_1.384150,1566,31,TRUE,nr,982,468,Viruses,10528,99.6,Human adenovirus 18,ACZ92148.2 DNA polymerase [Human adenovirus 18],10528,10528,Human adenovirus 18,TRUE,Preplasmiviricota,Adenoviridae,FALSE,TRUE,20562,190064,183,Human adenovirus 18,,DNA_pol,TRUE,FALSE,Viruses,190064,Canine,Dog,Ebonyi,7969852,2998,460401,7509451,45755872,4.13E-06,,Virus,I,double stranded DNA,
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_115_length_1424_cov_3.048255,1424,101,TRUE,nr,704,340,Viruses,190064,99.1,Fowl aviadenovirus D,QJB76054.1 DNA polymerase protein [Fowl aviadenovirus D],,,,TRUE,Preplasmiviricota,Adenoviridae,FALSE,TRUE,24995,190064,180,Fowl aviadenovirus D,,DNA_pol,TRUE,FALSE,Viruses,190064,Caprine,Goat,Ondo,17869036,313482,391748,17477288,33879770,5.78E-06,,Virus,I,double stranded DNA,
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_115_length_1424_cov_3.048255,1424,101,TRUE,nr,704,340,Viruses,190064,99.1,Fowl aviadenovirus D,QJB76054.1 DNA polymerase protein [Fowl aviadenovirus D],,,,TRUE,Preplasmiviricota,Adenoviridae,FALSE,TRUE,24995,190064,180,Fowl aviadenovirus D,,Pol,TRUE,FALSE,Viruses,190064,Caprine,Goat,Ondo,17869036,313482,391748,17477288,33879770,5.78E-06,,Virus,I,double stranded DNA,
AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_92_length_1332_cov_2.062948,1332,60,TRUE,nr,698,343,Viruses,28282,99.4,Human adenovirus 12,AZI15423.1 penton base [Human adenovirus 12],28282,28282,Human adenovirus 12,TRUE,Preplasmiviricota,Adenoviridae,FALSE,TRUE,28672,190064,182,Human adenovirus 12,,hypothetical,TRUE,FALSE,Viruses,190064,Caprine,Goat,Ebonyi ,11109452,93517,179659,10929793,24738340,5.49E-06,,Virus,I,double stranded DNA,
AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_94_length_1310_cov_1.879968,1310,88,TRUE,nr,489,265,Viruses,28282,99.6,Human adenovirus 12,AZI15427.1 capsid protein precursor pVI [Human adenovirus 12],28282,28282,Human adenovirus 12,TRUE,Preplasmiviricota,Adenoviridae,FALSE,TRUE,29618,190064,182,Human adenovirus 12,,Capsid,TRUE,FALSE,Viruses,190064,Caprine,Goat,Ebonyi ,11109452,93517,179659,10929793,24738340,8.05E-06,,Virus,I,double stranded DNA,
AINWZDOG001_S37_657734,AINWZDOG001_S37_657734_NODE_214_length_1286_cov_1.378825,1286,41,TRUE,nr,722,375,Viruses,10528,99.5,Human adenovirus 18,ACZ92151.1 protein IIIa precursor [Human adenovirus 18],10528,10528,Human adenovirus 18,TRUE,Preplasmiviricota,Adenoviridae,FALSE,TRUE,30756,190064,183,Human adenovirus 18,,Pol,TRUE,FALSE,Viruses,190064,Canine,Dog,Ebonyi,7969852,2998,460401,7509451,45755872,5.46E-06,,Virus,I,double stranded DNA,
AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_97_length_1266_cov_1.467620,1266,52,TRUE,nr,514,242,Viruses,28282,100,Human adenovirus 12,AZI15418.1 encapsidation protein IVa2 [Human adenovirus 12],,,,TRUE,Preplasmiviricota,Adenoviridae,FALSE,TRUE,31792,190064,182,Human adenovirus 12,,E,TRUE,FALSE,Viruses,190064,Caprine,Goat,Ebonyi ,11109452,93517,179659,10929793,24738340,4.76E-06,,Virus,I,double stranded DNA,
SEZONOWISUGOAT003_S26_657724,SEZONOWISUGOAT003_S26_657724_NODE_237_length_1237_cov_1.209483,1237,35,TRUE,nr,342,169,Viruses,190064,97.6,Fowl aviadenovirus D,WMJ91054.1 ORF20 [Fowl aviadenovirus D],,,,TRUE,Preplasmiviricota,Adenoviridae,FALSE,TRUE,221,1354736,177,Fowl adenovirus,,hypothetical,TRUE,FALSE,Viruses,1354736,Caprine,Goat,Ondo,15012530,324983,565002,14447528,22677498,2.42E-06,,Virus,I,double stranded DNA,
SEZONOWISUGOAT003_S26_657724,SEZONOWISUGOAT003_S26_657724_NODE_237_length_1237_cov_1.209483,1237,35,TRUE,nr,342,169,Viruses,190064,97.6,Fowl aviadenovirus D,WMJ91054.1 ORF20 [Fowl aviadenovirus D],,,,TRUE,Preplasmiviricota,Adenoviridae,FALSE,TRUE,221,190064,180,Fowl aviadenovirus D,,hypothetical,TRUE,FALSE,Viruses,190064,Caprine,Goat,Ondo,15012530,324983,565002,14447528,22677498,2.42E-06,,Virus,I,double stranded DNA,
AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_103_length_1226_cov_1.431680,1226,62,TRUE,nr,723,409,Viruses,28282,99,Human adenovirus 12,P12541.2  Short=TP [Human adenovirus 12],,,,TRUE,Preplasmiviricota,Adenoviridae,FALSE,TRUE,34002,190064,182,Human adenovirus 12,,Pol,TRUE,FALSE,Viruses,190064,Caprine,Goat,Ebonyi ,11109452,93517,179659,10929793,24738340,5.67E-06,,Virus,I,double stranded DNA,
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_140_length_1184_cov_2.201445,1184,72,TRUE,nr,467,235,Viruses,190064,100,Fowl aviadenovirus D,WMJ91067.1 52 kDa protein [Fowl aviadenovirus D],190064,190064,Fowl aviadenovirus D,TRUE,Preplasmiviricota,Adenoviridae,FALSE,TRUE,36577,190064,180,Fowl aviadenovirus D,,hypothetical,TRUE,FALSE,Viruses,190064,Caprine,Goat,Ondo,17869036,313482,391748,17477288,33879770,4.12E-06,,Virus,I,double stranded DNA,
AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_111_length_1183_cov_1.948463,1183,74,TRUE,nr,498,280,Viruses,28282,97.1,Human adenovirus 12,WEG77448.1 fiber [Human adenovirus 12],28282,28282,Human adenovirus 12,TRUE,Preplasmiviricota,Adenoviridae,FALSE,TRUE,36619,190064,182,Human adenovirus 12,,Gag,TRUE,FALSE,Viruses,190064,Caprine,Goat,Ebonyi ,11109452,93517,179659,10929793,24738340,6.77E-06,,Virus,I,double stranded DNA,
AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_113_length_1181_cov_1.843297,1181,64,TRUE,nr,634,344,Viruses,28282,99.7,Human adenovirus 12,AZI15425.1 core protein V [Human adenovirus 12],28282,28282,Human adenovirus 12,TRUE,Preplasmiviricota,Adenoviridae,FALSE,TRUE,36745,190064,182,Human adenovirus 12,,Integrase,TRUE,FALSE,Viruses,190064,Caprine,Goat,Ebonyi ,11109452,93517,179659,10929793,24738340,5.86E-06,,Virus,I,double stranded DNA,
AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_120_length_1142_cov_2.754930,1142,68,TRUE,nr,581,274,Viruses,28282,100,Human adenovirus 12,UNB10497.1 hexon associated protein (Protein IX) [Human adenovirus 12],28282,28282,Human adenovirus 12,TRUE,Preplasmiviricota,Adenoviridae,FALSE,TRUE,39375,190064,182,Human adenovirus 12,,Gag,TRUE,FALSE,Viruses,190064,Caprine,Goat,Ebonyi ,11109452,93517,179659,10929793,24738340,6.22E-06,,Virus,I,double stranded DNA,
