family,sample,contig_name,contig_length,read_count,identity,sci_name,sampletype,ska_species,collected_by,idseq_nonhost_reads,nonhost_reads,total_reads,read_prop,domestication_status,RPM,sample_size_Ebonyi,sample_size_Ondo,sample_size_total,Feeding
Picornaviridae,SEZONOWDOG009_S20_657738,SEZONOWDOG009_S20_657738_NODE_432_length_521_cov_4.297297,521,43,88.5,aichivirus A6,Non-tissue,Dog,Ondo,1631558,1192271,18909772,3.61E-05,domesticated,36.1,9,22,31,Other
Picornaviridae,SEZONOWDOG009_S20_657738,SEZONOWDOG009_S20_657738_NODE_134_length_1039_cov_2.151767,1039,48,86.4,aichivirus A8,Non-tissue,Dog,Ondo,1631558,1192271,18909772,4.03E-05,domesticated,40.3,9,22,31,Other
Picornaviridae,SEZONOWOGDOG004_S12_657748,SEZONOWOGDOG004_S12_657748_NODE_114_length_1102_cov_1.897561,1102,35,98.8,Anativirus sp.,Non-tissue,Dog,Ondo,10339474,10088583,26249100,3.47E-06,domesticated,3.47,9,22,31,Other
Picornaviridae,SEZONOWOGDOG004_S12_657748,SEZONOWOGDOG004_S12_657748_NODE_317_length_671_cov_2.104377,671,21,98.2,Anativirus sp.,Non-tissue,Dog,Ondo,10339474,10088583,26249100,2.08E-06,domesticated,2.08,9,22,31,Other
Picornaviridae,SEZONOWOGDOG004_S12_657748,SEZONOWOGDOG004_S12_657748_NODE_461_length_564_cov_1.203285,564,8,98.9,Anativirus sp.,Non-tissue,Dog,Ondo,10339474,10088583,26249100,7.93E-07,domesticated,0.793,9,22,31,Other
Astroviridae,SEZONOWOGDOG002_S5_657747,SEZONOWOGDOG002_S5_657747_NODE_183_length_938_cov_1.860627,938,28,98.1,Astrovirus HK-2014,Non-tissue,Dog,Ondo,2408828,2202125,26820504,1.27E-05,domesticated,12.7,9,22,31,Other
Astroviridae,AINWZDOG002_S38_657735,AINWZDOG002_S38_657735_NODE_65_length_869_cov_2.204545,869,38,98.3,Astrovirus MLB2,Non-tissue,Dog,Ebonyi,201828,163763,27237758,0.000232043,domesticated,232.043,9,22,31,Other
Astroviridae,AINWZDOG002_S38_657735,AINWZDOG002_S38_657735_NODE_94_length_678_cov_2.159734,678,26,100,Astrovirus MLB2,Non-tissue,Dog,Ebonyi,201828,163763,27237758,0.000158766,domesticated,158.766,9,22,31,Other
Coronaviridae,SEZONOWOGDOG002_S5_657747,SEZONOWOGDOG002_S5_657747_NODE_494_length_563_cov_1.512346,563,12,96,Avian coronavirus,Non-tissue,Dog,Ondo,2408828,2202125,26820504,5.45E-06,domesticated,5.45,9,22,31,Other
Polyomaviridae,SEZONOWOGDOG017_S22_657753,SEZONOWOGDOG017_S22_657753_NODE_497_length_559_cov_1.161826,559,7,97.9,Betapolyomavirus canis,Non-tissue,Dog,Ondo,17748038,17027121,33834902,4.11E-07,domesticated,0.411,9,22,31,Other
Orthoherpesviridae,SEZONOWDOG009_S20_657738,SEZONOWDOG009_S20_657738_NODE_157_length_974_cov_1.277592,974,18,98.9,Canid alphaherpesvirus 1,Non-tissue,Dog,Ondo,1631558,1192271,18909772,1.51E-05,domesticated,15.1,9,22,31,Other
Orthoherpesviridae,SEZONOWDOG009_S20_657738,SEZONOWDOG009_S20_657738_NODE_195_length_845_cov_1.496094,845,23,100,Canid alphaherpesvirus 1,Non-tissue,Dog,Ondo,1631558,1192271,18909772,1.93E-05,domesticated,19.3,9,22,31,Other
Orthoherpesviridae,SEZONOWDOG009_S20_657738,SEZONOWDOG009_S20_657738_NODE_218_length_766_cov_1.863570,766,30,100,Canid alphaherpesvirus 1,Non-tissue,Dog,Ondo,1631558,1192271,18909772,2.52E-05,domesticated,25.2,9,22,31,Other
Orthoherpesviridae,SEZONOWDOG009_S20_657738,SEZONOWDOG009_S20_657738_NODE_260_length_687_cov_1.780328,687,19,100,Canid alphaherpesvirus 1,Non-tissue,Dog,Ondo,1631558,1192271,18909772,1.59E-05,domesticated,15.9,9,22,31,Other
Orthoherpesviridae,SEZONOWDOG009_S20_657738,SEZONOWDOG009_S20_657738_NODE_274_length_664_cov_1.074957,664,15,100,Canid alphaherpesvirus 1,Non-tissue,Dog,Ondo,1631558,1192271,18909772,1.26E-05,domesticated,12.6,9,22,31,Other
Orthoherpesviridae,SEZONOWDOG009_S20_657738,SEZONOWDOG009_S20_657738_NODE_298_length_625_cov_1.250000,625,13,100,Canid alphaherpesvirus 1,Non-tissue,Dog,Ondo,1631558,1192271,18909772,1.09E-05,domesticated,10.9,9,22,31,Other
Orthoherpesviridae,SEZONOWDOG009_S20_657738,SEZONOWDOG009_S20_657738_NODE_309_length_612_cov_1.104673,612,22,99.4,Canid alphaherpesvirus 1,Non-tissue,Dog,Ondo,1631558,1192271,18909772,1.85E-05,domesticated,18.5,9,22,31,Other
Orthoherpesviridae,SEZONOWDOG009_S20_657738,SEZONOWDOG009_S20_657738_NODE_313_length_607_cov_1.766038,607,17,100,Canid alphaherpesvirus 1,Non-tissue,Dog,Ondo,1631558,1192271,18909772,1.43E-05,domesticated,14.3,9,22,31,Other
Orthoherpesviridae,SEZONOWDOG009_S20_657738,SEZONOWDOG009_S20_657738_NODE_359_length_566_cov_1.789366,566,20,98.9,Canid alphaherpesvirus 1,Non-tissue,Dog,Ondo,1631558,1192271,18909772,1.68E-05,domesticated,16.8,9,22,31,Other
Orthoherpesviridae,SEZONOWDOG009_S20_657738,SEZONOWDOG009_S20_657738_NODE_403_length_536_cov_0.716776,536,4,98.4,Canid alphaherpesvirus 1,Non-tissue,Dog,Ondo,1631558,1192271,18909772,3.35E-06,domesticated,3.35,9,22,31,Other
Orthoherpesviridae,SEZONOWDOG009_S20_657738,SEZONOWDOG009_S20_657738_NODE_418_length_527_cov_1.686667,527,13,97.7,Canid alphaherpesvirus 1,Non-tissue,Dog,Ondo,1631558,1192271,18909772,1.09E-05,domesticated,10.9,9,22,31,Other
Orthoherpesviridae,SEZONOWDOG009_S20_657738,SEZONOWDOG009_S20_657738_NODE_429_length_522_cov_1.631461,522,13,99.3,Canid alphaherpesvirus 1,Non-tissue,Dog,Ondo,1631558,1192271,18909772,1.09E-05,domesticated,10.9,9,22,31,Other
Circoviridae,SEZONOWOGDOG001_S6_657746,SEZONOWOGDOG001_S6_657746_NODE_36_length_2140_cov_29.663597,2140,1259,98.1,Canine circovirus,Non-tissue,Dog,Ondo,10765982,10448273,20841016,0.000120498,domesticated,120.498,9,22,31,Other
Picornaviridae,SEZONOWDOG01_S7_657737,SEZONOWDOG01_S7_657737_NODE_1_length_14746_cov_265.068375,14746,40772,99,Canine kobuvirus,Non-tissue,Dog,Ondo,6557718,6308466,19098908,0.006463061,domesticated,6463.061,9,22,31,Other
Picornaviridae,SEZONOWOGDOG010_S3_657749,SEZONOWOGDOG010_S3_657749_NODE_3_length_7433_cov_176.360114,7433,28039,99.1,Canine kobuvirus,Non-tissue,Dog,Ondo,19469706,19265567,30056734,0.001455394,domesticated,1455.394,9,22,31,Other
Picornaviridae,SEZONOWISDOGOO1_S19_657744,SEZONOWISDOGOO1_S19_657744_NODE_4_length_6453_cov_9.315402,6453,1310,95.7,Canine kobuvirus,Non-tissue,Dog,Ondo,12575104,12067881,24091260,0.000108553,domesticated,108.553,9,22,31,Other
Picornaviridae,SEZONOWISDOGOO1_S19_657744,SEZONOWISDOGOO1_S19_657744_NODE_132_length_1036_cov_5.262774,1036,98,83.5,Canine kobuvirus,Non-tissue,Dog,Ondo,12575104,12067881,24091260,8.12E-06,domesticated,8.12,9,22,31,Other
Parvoviridae,SEZONOWISDOGOO1_S19_657744,SEZONOWISDOGOO1_S19_657744_NODE_1_length_10198_cov_701.986266,10198,76842,99.6,Canine minute virus,Non-tissue,Dog,Ondo,12575104,12067881,24091260,0.006367481,domesticated,6367.481,9,22,31,Other
Parvoviridae,SEZONOWISDOGOO1_S19_657744,SEZONOWISDOGOO1_S19_657744_NODE_1_length_10198_cov_701.986266,10198,76842,99.6,Canine minute virus,Non-tissue,Dog,Ondo,12575104,12067881,24091260,0.006367481,domesticated,6367.481,9,22,31,Other
Parvoviridae,SEZONOWOGDOG014_S21_657751,SEZONOWOGDOG014_S21_657751_NODE_18_length_6200_cov_364.946105,6200,24584,98.3,Canine minute virus,Non-tissue,Dog,Ondo,20362306,20173894,35701688,0.001218605,domesticated,1218.605,9,22,31,Other
Parvoviridae,SEZONOWOGDOG014_S21_657751,SEZONOWOGDOG014_S21_657751_NODE_18_length_6200_cov_364.946105,6200,24584,98.3,Canine minute virus,Non-tissue,Dog,Ondo,20362306,20173894,35701688,0.001218605,domesticated,1218.605,9,22,31,Other
Parvoviridae,SEZONOWOGDOG014_S21_657751,SEZONOWOGDOG014_S21_657751_NODE_317_length_1045_cov_353.106952,1045,7752,100,Canine minute virus,Non-tissue,Dog,Ondo,20362306,20173894,35701688,0.000384259,domesticated,384.259,9,22,31,Other
Parvoviridae,SEZONOWOGDOG014_S21_657751,SEZONOWOGDOG014_S21_657751_NODE_317_length_1045_cov_353.106952,1045,7752,100,Canine minute virus,Non-tissue,Dog,Ondo,20362306,20173894,35701688,0.000384259,domesticated,384.259,9,22,31,Other
Parvoviridae,SEZONOWOGDOG014_S21_657751,SEZONOWOGDOG014_S21_657751_NODE_711_length_709_cov_302.549051,709,3942,100,Canine minute virus,Non-tissue,Dog,Ondo,20362306,20173894,35701688,0.000195401,domesticated,195.401,9,22,31,Other
Parvoviridae,SEZONOWOGDOG014_S21_657751,SEZONOWOGDOG014_S21_657751_NODE_711_length_709_cov_302.549051,709,3942,100,Canine minute virus,Non-tissue,Dog,Ondo,20362306,20173894,35701688,0.000195401,domesticated,195.401,9,22,31,Other
Papillomaviridae,AIAMADOG001_S40_657732,AIAMADOG001_S40_657732_NODE_2_length_8355_cov_101.830515,8355,15088,99.2,Canine papillomavirus 21,Non-tissue,Dog,Ebonyi,1627364,1229228,37087092,0.012274371,domesticated,12274.371,9,22,31,Other
Papillomaviridae,AIMGLDOG001_S59_657733,AIMGLDOG001_S59_657733_NODE_27_length_2136_cov_14.180670,2136,449,100,Canine papillomavirus 21,Non-tissue,Dog,Ebonyi,2802322,2320664,29774724,0.000193479,domesticated,193.479,9,22,31,Other
Papillomaviridae,AIMGLDOG001_S59_657733,AIMGLDOG001_S59_657733_NODE_60_length_1869_cov_2.140067,1869,80,99.7,Canine papillomavirus 21,Non-tissue,Dog,Ebonyi,2802322,2320664,29774724,3.45E-05,domesticated,34.5,9,22,31,Other
Papillomaviridae,AIMGLDOG001_S59_657733,AIMGLDOG001_S59_657733_NODE_60_length_1869_cov_2.140067,1869,80,99.7,Canine papillomavirus 21,Non-tissue,Dog,Ebonyi,2802322,2320664,29774724,3.45E-05,domesticated,34.5,9,22,31,Other
Papillomaviridae,AIMGLDOG001_S59_657733,AIMGLDOG001_S59_657733_NODE_601_length_822_cov_2.264430,822,36,100,Canine papillomavirus 21,Non-tissue,Dog,Ebonyi,2802322,2320664,29774724,1.55E-05,domesticated,15.5,9,22,31,Other
Papillomaviridae,AIMGLDOG001_S59_657733,AIMGLDOG001_S59_657733_NODE_601_length_822_cov_2.264430,822,36,100,Canine papillomavirus 21,Non-tissue,Dog,Ebonyi,2802322,2320664,29774724,1.55E-05,domesticated,15.5,9,22,31,Other
Papillomaviridae,AIAMADOG002_OS_S64_673467,AIAMADOG002_OS_S64_673467_NODE_4_length_8355_cov_10.049891,8355,1648,99.2,Canine papillomavirus 21,Non-tissue,Dog,Ebonyi,2135538,1807788,36224356,0.000911611,domesticated,911.611,9,22,31,Other
Papillomaviridae,AIAMADOG002_OS_S64_673467,AIAMADOG002_OS_S64_673467_NODE_4_length_8355_cov_10.049891,8355,1648,99.2,Canine papillomavirus 21,Non-tissue,Dog,Ebonyi,2135538,1807788,36224356,0.000911611,domesticated,911.611,9,22,31,Other
Papillomaviridae,SEZONOWDOG009_S20_657738,SEZONOWDOG009_S20_657738_NODE_333_length_584_cov_12.112426,584,116,76.9,Canine papillomavirus 22,Non-tissue,Dog,Ondo,1631558,1192271,18909772,9.73E-05,domesticated,97.3,9,22,31,Other
Papillomaviridae,SEZONOWDOG009_S20_657738,SEZONOWDOG009_S20_657738_NODE_132_length_1050_cov_2.735868,1050,56,46.7,Canine papillomavirus 23,Non-tissue,Dog,Ondo,1631558,1192271,18909772,4.70E-05,domesticated,47,9,22,31,Other
Parvoviridae,AINWZDOG003_S39_657736,AINWZDOG003_S39_657736_NODE_7_length_4386_cov_667.889534,4386,59600,99.9,Canine parvovirus,Non-tissue,Dog,Ebonyi,6736096,6041022,35555856,0.00986588,domesticated,9865.88,9,22,31,Other
Parvoviridae,AINWZDOG003_S39_657736,AINWZDOG003_S39_657736_NODE_7_length_4386_cov_667.889534,4386,59600,99.9,Canine parvovirus,Non-tissue,Dog,Ebonyi,6736096,6041022,35555856,0.00986588,domesticated,9865.88,9,22,31,Other
Parvoviridae,AINWZDOG003_S39_657736,AINWZDOG003_S39_657736_NODE_7_length_4386_cov_667.889534,4386,59600,99.9,Canine parvovirus,Non-tissue,Dog,Ebonyi,6736096,6041022,35555856,0.00986588,domesticated,9865.88,9,22,31,Other
Parvoviridae,AINWZDOG003_S39_657736,AINWZDOG003_S39_657736_NODE_7_length_4386_cov_667.889534,4386,59600,99.9,Canine parvovirus,Non-tissue,Dog,Ebonyi,6736096,6041022,35555856,0.00986588,domesticated,9865.88,9,22,31,Other
Parvoviridae,SEZONOWOGDOG016_S23_657752,SEZONOWOGDOG016_S23_657752_NODE_4_length_4838_cov_129.973955,4838,12304,99.7,Canine parvovirus,Non-tissue,Dog,Ondo,3353488,2979096,26012148,0.004130112,domesticated,4130.112,9,22,31,Other
Parvoviridae,SEZONOWOGDOG016_S23_657752,SEZONOWOGDOG016_S23_657752_NODE_4_length_4838_cov_129.973955,4838,12304,99.7,Canine parvovirus,Non-tissue,Dog,Ondo,3353488,2979096,26012148,0.004130112,domesticated,4130.112,9,22,31,Other
Parvoviridae,SEZONOWOGDOG016_S23_657752,SEZONOWOGDOG016_S23_657752_NODE_4_length_4838_cov_129.973955,4838,12304,99.7,Canine parvovirus,Non-tissue,Dog,Ondo,3353488,2979096,26012148,0.004130112,domesticated,4130.112,9,22,31,Other
Parvoviridae,SEZONOWOGDOG016_S23_657752,SEZONOWOGDOG016_S23_657752_NODE_4_length_4838_cov_129.973955,4838,12304,99.7,Canine parvovirus,Non-tissue,Dog,Ondo,3353488,2979096,26012148,0.004130112,domesticated,4130.112,9,22,31,Other
Parvoviridae,SEZONOWOGDOG002_S5_657747,SEZONOWOGDOG002_S5_657747_NODE_166_length_986_cov_111.163688,986,2070,100,Canine parvovirus,Non-tissue,Dog,Ondo,2408828,2202125,26820504,0.000940001,domesticated,940.001,9,22,31,Other
Parvoviridae,SEZONOWOGDOG002_S5_657747,SEZONOWOGDOG002_S5_657747_NODE_166_length_986_cov_111.163688,986,2070,100,Canine parvovirus,Non-tissue,Dog,Ondo,2408828,2202125,26820504,0.000940001,domesticated,940.001,9,22,31,Other
Parvoviridae,SEZONOWOGDOG002_S5_657747,SEZONOWOGDOG002_S5_657747_NODE_166_length_986_cov_111.163688,986,2070,100,Canine parvovirus,Non-tissue,Dog,Ondo,2408828,2202125,26820504,0.000940001,domesticated,940.001,9,22,31,Other
Parvoviridae,SEZONOWOGDOG002_S5_657747,SEZONOWOGDOG002_S5_657747_NODE_166_length_986_cov_111.163688,986,2070,100,Canine parvovirus,Non-tissue,Dog,Ondo,2408828,2202125,26820504,0.000940001,domesticated,940.001,9,22,31,Other
Picornaviridae,SEZONOWOGDOG010_S3_657749,SEZONOWOGDOG010_S3_657749_NODE_67_length_1977_cov_8.082105,1977,308,95.4,Canine picornavirus,Non-tissue,Dog,Ondo,19469706,19265567,30056734,1.60E-05,domesticated,16,9,22,31,Other
Caliciviridae,SEZONOWOGDOG017_S22_657753,SEZONOWOGDOG017_S22_657753_NODE_426_length_602_cov_1.238095,602,11,94.5,Canine vesivirus,Non-tissue,Dog,Ondo,17748038,17027121,33834902,6.46E-07,domesticated,0.646,9,22,31,Other
Papillomaviridae,AINWZDOG003_S39_657736,AINWZDOG003_S39_657736_NODE_36_length_2231_cov_41.688487,2231,1778,92.2,Canis familiaris papillomavirus 19,Non-tissue,Dog,Ebonyi,6736096,6041022,35555856,0.000294321,domesticated,294.321,9,22,31,Other
Papillomaviridae,AINWZDOG003_S39_657736,AINWZDOG003_S39_657736_NODE_245_length_919_cov_15.694774,919,200,75,Canis familiaris papillomavirus 19,Non-tissue,Dog,Ebonyi,6736096,6041022,35555856,3.31E-05,domesticated,33.1,9,22,31,Other
Papillomaviridae,AINWZDOG001_S37_657734,AINWZDOG001_S37_657734_NODE_427_length_843_cov_2.889034,843,45,93,Canis familiaris papillomavirus 19,Non-tissue,Dog,Ebonyi,7969852,7509451,45755872,5.99E-06,domesticated,5.99,9,22,31,Other
Papillomaviridae,AINWZDOG003_S39_657736,AINWZDOG003_S39_657736_NODE_331_length_750_cov_50.126300,750,649,78.6,Canis familiaris papillomavirus 19,Non-tissue,Dog,Ebonyi,6736096,6041022,35555856,0.000107432,domesticated,107.432,9,22,31,Other
Papillomaviridae,AINWZDOG001_S37_657734,AINWZDOG001_S37_657734_NODE_692_length_633_cov_13.642086,633,138,86.7,Canis familiaris papillomavirus 19,Non-tissue,Dog,Ebonyi,7969852,7509451,45755872,1.84E-05,domesticated,18.4,9,22,31,Other
Papillomaviridae,AINWZDOG001_S37_657734,AINWZDOG001_S37_657734_NODE_1043_length_505_cov_7.135514,505,52,81.6,Canis familiaris papillomavirus 19,Non-tissue,Dog,Ebonyi,7969852,7509451,45755872,6.92E-06,domesticated,6.92,9,22,31,Other
Papillomaviridae,AINWZDOG003_S39_657736,AINWZDOG003_S39_657736_NODE_206_length_1028_cov_39.649842,1028,703,86.1,Canis familiaris papillomavirus 7,Non-tissue,Dog,Ebonyi,6736096,6041022,35555856,0.000116371,domesticated,116.371,9,22,31,Other
Papillomaviridae,AINWZDOG001_S37_657734,AINWZDOG001_S37_657734_NODE_567_length_704_cov_11.001595,704,130,88.7,Canis familiaris papillomavirus 7,Non-tissue,Dog,Ebonyi,7969852,7509451,45755872,1.73E-05,domesticated,17.3,9,22,31,Other
Picornaviridae,SEZONOWOGDOG014_S21_657751,SEZONOWOGDOG014_S21_657751_NODE_312_length_1052_cov_2.204103,1052,47,96.5,Chicken picornavirus 4,Non-tissue,Dog,Ondo,20362306,20173894,35701688,2.33E-06,domesticated,2.33,9,22,31,Other
Picornaviridae,AINWZDOG001_S37_657734,AINWZDOG001_S37_657734_NODE_202_length_1344_cov_2.728493,1344,66,94.4,Coxsackievirus A13,Non-tissue,Dog,Ebonyi,7969852,7509451,45755872,8.79E-06,domesticated,8.79,9,22,31,Other
Picornaviridae,AINWZDOG001_S37_657734,AINWZDOG001_S37_657734_NODE_396_length_880_cov_1.564134,880,21,93.2,Coxsackievirus A13,Non-tissue,Dog,Ebonyi,7969852,7509451,45755872,2.80E-06,domesticated,2.8,9,22,31,Other
Picornaviridae,AINWZDOG001_S37_657734,AINWZDOG001_S37_657734_NODE_75_length_2107_cov_2.351232,2107,99,97.8,Coxsackievirus B2,Non-tissue,Dog,Ebonyi,7969852,7509451,45755872,1.32E-05,domesticated,13.2,9,22,31,Other
Parvoviridae,AINWZDOG002_S38_657735,AINWZDOG002_S38_657735_NODE_125_length_591_cov_1.651751,591,20,100,Dependoparvovirus primate1,Non-tissue,Dog,Ebonyi,201828,163763,27237758,0.000122128,domesticated,122.128,9,22,31,Other
Picornaviridae,AINWZDOG001_S37_657734,AINWZDOG001_S37_657734_NODE_8_length_6895_cov_6.106483,6895,857,96.7,Echovirus E24,Non-tissue,Dog,Ebonyi,7969852,7509451,45755872,0.000114123,domesticated,114.123,9,22,31,Other
Picornaviridae,AINWZDOG001_S37_657734,AINWZDOG001_S37_657734_NODE_218_length_1262_cov_3.184810,1262,72,98.1,Echovirus E25,Non-tissue,Dog,Ebonyi,7969852,7509451,45755872,9.59E-06,domesticated,9.59,9,22,31,Other
