sample,contig_name,name,ska_species,collected_by,family,read_count,sample_type,identity
SENONOWISUGOT004_RS_S77_673661,SENONOWISUGOT004_RS_S77_673661_NODE_635_length_568_cov_2.492872,Fowl aviadenovirus,Goat,Ondo,Adenoviridae,35,Rectal,100
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_56_length_2085_cov_4.170319,Fowl aviadenovirus,Goat,Ondo,Adenoviridae,229,Rectal,99.8
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_246_length_816_cov_3.686062,Fowl aviadenovirus,Goat,Ondo,Adenoviridae,66,Rectal,99.6
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_246_length_816_cov_3.686062,Fowl aviadenovirus,Goat,Ondo,Adenoviridae,66,Rectal,99.6
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_246_length_816_cov_3.686062,Fowl aviadenovirus,Goat,Ondo,Adenoviridae,66,Rectal,99.6
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_246_length_816_cov_3.686062,Fowl aviadenovirus,Goat,Ondo,Adenoviridae,66,Rectal,99.6
SEZONOWISUGOAT003_S26_657724,SEZONOWISUGOAT003_S26_657724_NODE_565_length_784_cov_1.411598,Fowl aviadenovirus,Goat,Ondo,Adenoviridae,17,Swab,99.6
SENONOWISUGOT004_RS_S77_673661,SENONOWISUGOT004_RS_S77_673661_NODE_1_length_17713_cov_8.729531,Fowl aviadenovirus,Goat,Ondo,Adenoviridae,3855,Rectal,99.5
SENONOWISUGOT004_RS_S77_673661,SENONOWISUGOT004_RS_S77_673661_NODE_1_length_17713_cov_8.729531,Fowl aviadenovirus,Goat,Ondo,Adenoviridae,3855,Rectal,99.5
SENONOWISUGOT004_RS_S77_673661,SENONOWISUGOT004_RS_S77_673661_NODE_1_length_17713_cov_8.729531,Fowl aviadenovirus,Goat,Ondo,Adenoviridae,3855,Rectal,99.5
SENONOWISUGOT004_RS_S77_673661,SENONOWISUGOT004_RS_S77_673661_NODE_1_length_17713_cov_8.729531,Fowl aviadenovirus,Goat,Ondo,Adenoviridae,3855,Rectal,99.5
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_290_length_748_cov_1.868852,Fowl aviadenovirus,Goat,Ondo,Adenoviridae,24,Rectal,99.5
SEZONOWISUGOAT003_S26_657724,SEZONOWISUGOAT003_S26_657724_NODE_943_length_596_cov_1.776493,Fowl aviadenovirus,Goat,Ondo,Adenoviridae,19,Swab,99
SEZONOWISUGOAT003_S26_657724,SEZONOWISUGOAT003_S26_657724_NODE_519_length_825_cov_1.609626,Fowl aviadenovirus,Goat,Ondo,Adenoviridae,26,Swab,98.8
SEZONOWISUGOAT003_S26_657724,SEZONOWISUGOAT003_S26_657724_NODE_519_length_825_cov_1.609626,Fowl aviadenovirus,Goat,Ondo,Adenoviridae,26,Swab,98.8
SEZONOWISUGOAT003_S26_657724,SEZONOWISUGOAT003_S26_657724_NODE_949_length_594_cov_1.307544,Fowl aviadenovirus,Goat,Ondo,Adenoviridae,29,Swab,98.8
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_667_length_549_cov_2.040254,Fowl aviadenovirus,Goat,Ondo,Adenoviridae,17,Rectal,98.8
SENONOWISUGOT004_RS_S77_673661,SENONOWISUGOT004_RS_S77_673661_NODE_6_length_6802_cov_10.731450,Fowl aviadenovirus,Goat,Ondo,Adenoviridae,1871,Rectal,98.7
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_30_length_2680_cov_6.008836,Fowl aviadenovirus,Goat,Ondo,Adenoviridae,397,Rectal,98.6
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_9_length_4473_cov_3.274568,Fowl aviadenovirus ,Goat,Ondo,Adenoviridae,366,Rectal,99.7
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_4_length_4821_cov_6.293423,Fowl aviadenovirus ,Goat,Ondo,Adenoviridae,709,Rectal,99.6
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_290_length_748_cov_1.868852,Fowl aviadenovirus ,Goat,Ondo,Adenoviridae,24,Rectal,99.5
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_290_length_748_cov_1.868852,Fowl aviadenovirus ,Goat,Ondo,Adenoviridae,24,Rectal,99.5
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_290_length_748_cov_1.868852,Fowl aviadenovirus ,Goat,Ondo,Adenoviridae,24,Rectal,99.5
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_35_length_2544_cov_4.707337,Fowl aviadenovirus ,Goat,Ondo,Adenoviridae,301,Rectal,99.4
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_115_length_1424_cov_3.048255,Fowl aviadenovirus ,Goat,Ondo,Adenoviridae,101,Rectal,99.1
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_115_length_1424_cov_3.048255,Fowl aviadenovirus ,Goat,Ondo,Adenoviridae,101,Rectal,99.1
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_34_length_2551_cov_4.131366,Fowl aviadenovirus ,Goat,Ondo,Adenoviridae,250,Rectal,98.9
SENONOWISUGOT004_RS_S77_673661,SENONOWISUGOT004_RS_S77_673661_NODE_6_length_6802_cov_10.731450,Fowl aviadenovirus ,Goat,Ondo,Adenoviridae,1871,Rectal,98.7
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_6_length_4724_cov_4.101571,Fowl aviadenovirus ,Goat,Ondo,Adenoviridae,452,Rectal,98.5
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_6_length_4724_cov_4.101571,Fowl aviadenovirus ,Goat,Ondo,Adenoviridae,452,Rectal,98.5
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_6_length_4724_cov_4.101571,Fowl aviadenovirus ,Goat,Ondo,Adenoviridae,452,Rectal,98.5
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_6_length_4724_cov_4.101571,Fowl aviadenovirus ,Goat,Ondo,Adenoviridae,452,Rectal,98.5
SEZONOWISUGOAT003_S26_657724,SEZONOWISUGOAT003_S26_657724_NODE_314_length_1065_cov_1.493927,Fowl aviadenovirus ,Goat,Ondo,Adenoviridae,37,Swab,98.5
SENONOWISUGOT004_RS_S77_673661,SENONOWISUGOT004_RS_S77_673661_NODE_169_length_1011_cov_4.822270,Fowl aviadenovirus ,Goat,Ondo,Adenoviridae,107,Rectal,96.2
SEZONOWISUGOAT003_S26_657724,SEZONOWISUGOAT003_S26_657724_NODE_1297_length_509_cov_1.539352,Fowl aviadenovirus ,Goat,Ondo,Adenoviridae,14,Swab,94.6
SENONOWISUGOT004_RS_S77_673661,SENONOWISUGOT004_RS_S77_673661_NODE_3_length_10793_cov_14.136618,Fowl aviadenovirus ,Goat,Ondo,Adenoviridae,3822,Rectal,98.2
SEZONOWISUGOAT003_S26_657724,SEZONOWISUGOAT003_S26_657724_NODE_387_length_969_cov_1.488789,Fowl aviadenovirus ,Goat,Ondo,Adenoviridae,26,Swab,98
SEZONOWISUGOAT003_S26_657724,SEZONOWISUGOAT003_S26_657724_NODE_237_length_1237_cov_1.209483,Fowl aviadenovirus ,Goat,Ondo,Adenoviridae,35,Swab,97.6
SEZONOWISUGOAT003_S26_657724,SEZONOWISUGOAT003_S26_657724_NODE_609_length_751_cov_1.408012,Fowl aviadenovirus ,Goat,Ondo,Adenoviridae,12,Swab,95.3
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_786_length_521_cov_3.727477,Fowl aviadenovirus ,Goat,Ondo,Adenoviridae,41,Rectal,94.4
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_46_length_2239_cov_3.986124,Fowl aviadenovirus ,Goat,Ondo,Adenoviridae,224,Rectal,92.2
SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_46_length_2239_cov_3.986124,Fowl aviadenovirus ,Goat,Ondo,Adenoviridae,224,Rectal,92.2
AIAMA_GOT007_OS_S45_673461,AIAMA_GOT007_OS_S45_673461_NODE_1029_length_599_cov_1.802682,Fowl aviadenovirus ,Goat,Ebonyi ,Adenoviridae,45,Oral,89.2
AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_120_length_1142_cov_2.754930,Human adenovirus,Goat,Ebonyi ,Adenoviridae,68,Oral,100
AINWZDOG001_S37_657734,AINWZDOG001_S37_657734_NODE_300_length_1041_cov_2.223029,Human adenovirus,Dog,Ebonyi,Adenoviridae,45,Swab,100
AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_185_length_926_cov_3.383981,Human adenovirus,Goat,Ebonyi ,Adenoviridae,98,Oral,100
AINWZDOG001_S37_657734,AINWZDOG001_S37_657734_NODE_815_length_577_cov_1.140000,Human adenovirus,Dog,Ebonyi,Adenoviridae,11,Swab,100
AINWZDOG001_S37_657734,AINWZDOG001_S37_657734_NODE_214_length_1286_cov_1.378825,Human adenovirus,Dog,Ebonyi,Adenoviridae,41,Swab,99.5
AINWZDOG001_S37_657734,AINWZDOG001_S37_657734_NODE_267_length_1128_cov_2.027593,Human adenovirus,Dog,Ebonyi,Adenoviridae,34,Swab,99.3
AINWZDOG001_S37_657734,AINWZDOG001_S37_657734_NODE_909_length_542_cov_1.236559,Human adenovirus,Dog,Ebonyi,Adenoviridae,12,Swab,99.1
AINWZDOG001_S37_657734,AINWZDOG001_S37_657734_NODE_1052_length_503_cov_3.072770,Human adenovirus,Dog,Ebonyi,Adenoviridae,27,Swab,99
AINWZDOG001_S37_657734,AINWZDOG001_S37_657734_NODE_905_length_544_cov_1.370450,Human adenovirus,Dog,Ebonyi,Adenoviridae,15,Swab,98.9
AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_1005_length_516_cov_1.469248,Human adenovirus,Goat,Ebonyi ,Adenoviridae,21,Oral,98.8
AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_151_length_1008_cov_2.303974,Human adenovirus,Goat,Ebonyi ,Adenoviridae,50,Oral,98.5
AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_47_length_1747_cov_2.508982,Human adenovirus,Goat,Ebonyi ,Adenoviridae,135,Oral,98.4
AINWZDOG001_S37_657734,AINWZDOG001_S37_657734_NODE_347_length_967_cov_1.451685,Human adenovirus,Dog,Ebonyi,Adenoviridae,24,Swab,98.4
AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_97_length_1266_cov_1.467620,Human adenovirus ,Goat,Ebonyi ,Adenoviridae,52,Oral,100
AINWZDOG001_S37_657734,AINWZDOG001_S37_657734_NODE_963_length_526_cov_1.227171,Human adenovirus ,Dog,Ebonyi,Adenoviridae,8,Swab,100
AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_1148_length_502_cov_2.611765,Human adenovirus ,Goat,Ebonyi ,Adenoviridae,28,Oral,100
AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_113_length_1181_cov_1.843297,Human adenovirus ,Goat,Ebonyi ,Adenoviridae,64,Oral,99.7
AINWZDOG001_S37_657734,AINWZDOG001_S37_657734_NODE_152_length_1566_cov_1.384150,Human adenovirus ,Dog,Ebonyi,Adenoviridae,31,Swab,99.6
AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_94_length_1310_cov_1.879968,Human adenovirus ,Goat,Ebonyi ,Adenoviridae,88,Oral,99.6
AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_92_length_1332_cov_2.062948,Human adenovirus ,Goat,Ebonyi ,Adenoviridae,60,Oral,99.4
AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_31_length_2126_cov_2.468521,Human adenovirus ,Goat,Ebonyi ,Adenoviridae,151,Oral,99.3
AINWZDOG001_S37_657734,AINWZDOG001_S37_657734_NODE_643_length_658_cov_1.767642,Human adenovirus ,Dog,Ebonyi,Adenoviridae,13,Swab,99
AINWZDOG001_S37_657734,AINWZDOG001_S37_657734_NODE_678_length_639_cov_1.265125,Human adenovirus ,Dog,Ebonyi,Adenoviridae,16,Swab,98.9
AINWZDOG001_S37_657734,AINWZDOG001_S37_657734_NODE_344_length_967_cov_2.039326,Human adenovirus  ,Dog,Ebonyi,Adenoviridae,34,Swab,99.4
AINWZDOG001_S37_657734,AINWZDOG001_S37_657734_NODE_935_length_534_cov_1.487965,Human adenovirus  ,Dog,Ebonyi,Adenoviridae,14,Swab,99.4
AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_103_length_1226_cov_1.431680,Human adenovirus  ,Goat,Ebonyi ,Adenoviridae,62,Oral,99
AINWZDOG001_S37_657734,AINWZDOG001_S37_657734_NODE_506_length_768_cov_2.004342,Human adenovirus  ,Dog,Ebonyi,Adenoviridae,32,Swab,98.6
AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_312_length_711_cov_1.741325,Human adenovirus  ,Goat,Ebonyi ,Adenoviridae,23,Oral,98.6
AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_1040_length_512_cov_3.310345,Human adenovirus  ,Goat,Ebonyi ,Adenoviridae,46,Oral,98.6
AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_181_length_931_cov_2.469555,Human adenovirus  ,Goat,Ebonyi ,Adenoviridae,83,Oral,98
AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_189_length_909_cov_2.070913,Human adenovirus  ,Goat,Ebonyi ,Adenoviridae,57,Oral,97.6
AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_658_length_568_cov_2.505092,Human adenovirus  ,Goat,Ebonyi ,Adenoviridae,27,Oral,97.3
AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_111_length_1183_cov_1.948463,Human adenovirus  ,Goat,Ebonyi ,Adenoviridae,74,Oral,97.1
AINWZDOG001_S37_657734,AINWZDOG001_S37_657734_NODE_552_length_720_cov_2.038880,Human adenovirus  ,Dog,Ebonyi,Adenoviridae,30,Swab,95
AINWZDOG001_S37_657734,AINWZDOG001_S37_657734_NODE_405_length_869_cov_1.101010,Human adenovirus  ,Dog,Ebonyi,Adenoviridae,18,Swab,94.5
AINWZDOG001_S37_657734,AINWZDOG001_S37_657734_NODE_625_length_673_cov_1.473154,Human adenovirus  ,Dog,Ebonyi,Adenoviridae,23,Swab,88.2
AINWZR019_LIV_S19_663082,AINWZR019_LIV_S19_663082_NODE_10_length_746_cov_41.234679,Murine adenovirus,Rodent,Ebonyi ,Adenoviridae,271,Liver,93.1
AINWZR019_LIV_S19_663082,AINWZR019_LIV_S19_663082_NODE_1_length_3087_cov_22.280066,Murine adenovirus,Rodent,Ebonyi ,Adenoviridae,757,Liver,88.8
AINWZR019_LIV_S19_663082,AINWZR019_LIV_S19_663082_NODE_11_length_726_cov_27.445300,Murine adenovirus,Rodent,Ebonyi ,Adenoviridae,307,Liver,87.6
AIMGL_GOT004_RS_S66_673469,AIMGL_GOT004_RS_S66_673469_NODE_966_length_580_cov_1.693837,Ovine adenovirus,Goat,Ebonyi ,Adenoviridae,20,Rectal,99.5
SEZONOWISLIZARD001_S36_657719,SEZONOWISLIZARD001_S36_657719_NODE_161_length_1188_cov_1.563456,Ondo Astyanax tetra cavefish adintovirus,Lizard,Ondo,Adintoviridae,39,Swab,68.5
AINWZLIZARD001_S58_657718,AINWZLIZARD001_S58_657718_NODE_3101_length_562_cov_1.035052,Ondo Larimichthys croaker adintovirus,Lizard,Ebonyi,Adintoviridae,15,Swab,70.2
OD_ZAD_AGR008_LUNG_S53_673493,OD_ZAD_AGR008_LUNG_S53_673493_NODE_126_length_1955_cov_1.763046,Ondo Larimichthys croaker adintovirus,Rodent,Ondo,Adintoviridae,109,Lung,68.5
SEZONOWISLIZARD001_S36_657719,SEZONOWISLIZARD001_S36_657719_NODE_1241_length_527_cov_1.313333,Ondo Larimichthys croaker adintovirus,Lizard,Ondo,Adintoviridae,12,Swab,64.2
AIMGLDOG001_S59_657733,AIMGLDOG001_S59_657733_NODE_1035_length_693_cov_0.862013,Abak Cassava common mosaic virus,Dog,Ebonyi,Alphaflexiviridae,15,Swab,81.9
AIMGLDOG001_S59_657733,AIMGLDOG001_S59_657733_NODE_447_length_914_cov_1.618877,Abak Cassava common mosaic virus,Dog,Ebonyi,Alphaflexiviridae,29,Swab,58.4
AIAMAPIG002_S64_657714,AIAMAPIG002_S64_657714_NODE_437_length_776_cov_1.432046,Abak Dioscorea potexvirus,Pig,Ebonyi,Alphaflexiviridae,16,Swab,65.1
AIAMAPIG002_S64_657714,AIAMAPIG002_S64_657714_NODE_1120_length_542_cov_1.569892,Abak Dioscorea potexvirus,Pig,Ebonyi,Alphaflexiviridae,21,Swab,64.7
AIAMAPIG002_S64_657714,AIAMAPIG002_S64_657714_NODE_97_length_1518_cov_1.347675,Abak Dioscorea potexvirus,Pig,Ebonyi,Alphaflexiviridae,51,Swab,60.5
AIAMAPIG002_S64_657714,AIAMAPIG002_S64_657714_NODE_14_length_3117_cov_2.241776,Abak Dioscorea potexvirus,Pig,Ebonyi,Alphaflexiviridae,146,Swab,54.1
AIAMAPIG002_S64_657714,AIAMAPIG002_S64_657714_NODE_1256_length_519_cov_2.083710,Abak Yam virus X,Pig,Ebonyi,Alphaflexiviridae,16,Swab,52.1
AIMGLDOG001_S59_657733,AIMGLDOG001_S59_657733_NODE_2494_length_539_cov_0.984848,Cassava common mosaic virus,Dog,Ebonyi,Alphaflexiviridae,12,Swab,99.4
SEZONOWIFRR034_LIV_S74_1_666404,SEZONOWIFRR034_LIV_S74_1_666404_NODE_86_length_662_cov_1.442735,Anelloviridae sp.,Rodent,Ondo ,Anelloviridae,19,Liver,88.6
SEZONOWIFRR034_LIV_S74_1_666404,SEZONOWIFRR034_LIV_S74_1_666404_NODE_42_length_801_cov_1.462707,Mosquito VEM Anellovirus,Rodent,Ondo ,Anelloviridae,27,Liver,98
SEZONOWIFDOG009_S1_657740,SEZONOWIFDOG009_S1_657740_NODE_92_length_1606_cov_2.085677,Nayun tick torquevirus,Dog,Ondo,Anelloviridae,48,Swab,97.3
AIMGLDOG001_S59_657733,AIMGLDOG001_S59_657733_NODE_7_length_3140_cov_12.507999,Nayun tick torquevirus,Dog,Ebonyi,Anelloviridae,489,Swab,97.2
AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_849_length_534_cov_3.363239,Nayun tick torquevirus,Goat,Ebonyi ,Anelloviridae,44,Oral,97.1
OD_ZAD_SQL027_LUNG_S17_673623,OD_ZAD_SQL027_LUNG_S17_673623_NODE_728_length_741_cov_5.840361,Ondo Anelloviridae sp.,Squirrel,Ondo,Anelloviridae,90,Lung,35.9
OD_ZAD_SQL021_LIV_S11_673617,OD_ZAD_SQL021_LIV_S11_673617_NODE_892_length_668_cov_8.023689,Ondo Torque teno polar bear virus,Squirrel,Ondo,Anelloviridae,141,Liver,46.2
SEZONOWIFRR034_LIV_S74_1_666404,SEZONOWIFRR034_LIV_S74_1_666404_NODE_383_length_507_cov_1.739535,Ondo Torque teno polar bear virus,Rodent,Ondo ,Anelloviridae,11,Liver,40.4
SEZONOWOGR001_LIV_S47_666398,SEZONOWOGR001_LIV_S47_666398_NODE_2_length_2566_cov_3.879470,Mammarenavirus lassaense,Rodent,Ondo ,Arenaviridae,186,Liver,99.8
SEZONOWIFRR069_LUNG_S60_673526,SEZONOWIFRR069_LUNG_S60_673526_NODE_85_length_1590_cov_7.320555,Mammarenavirus lassaense,Rodent,Ondo,Arenaviridae,408,Lung,99.8
SEZONOWOGR001_LIV_S47_666398,SEZONOWOGR001_LIV_S47_666398_NODE_4_length_1571_cov_3.244980,Mammarenavirus lassaense,Rodent,Ondo ,Arenaviridae,89,Liver,99.8
SEZONOWIFRR039_LIV_S79_666401,SEZONOWIFRR039_LIV_S79_666401_NODE_224_length_1331_cov_162.138756,Mammarenavirus lassaense,Rodent,Ondo ,Arenaviridae,14778,Liver,99.8
SEZONOWIFRR040_LIV_S80_666396,SEZONOWIFRR040_LIV_S80_666396_NODE_261_length_732_cov_2.737405,Mammarenavirus lassaense,Rodent,Ondo ,Arenaviridae,32,Liver,99.6
SEZONOWIFRR040_LIV_S80_666396,SEZONOWIFRR040_LIV_S80_666396_NODE_74_length_1333_cov_2.810510,Mammarenavirus lassaense,Rodent,Ondo ,Arenaviridae,62,Liver,99.5
SEZONOWIFRR040_LIV_S80_666396,SEZONOWIFRR040_LIV_S80_666396_NODE_125_length_1072_cov_2.312563,Mammarenavirus lassaense,Rodent,Ondo ,Arenaviridae,45,Liver,99.4
SEZONOWIFRR039_LIV_S79_666401,SEZONOWIFRR039_LIV_S79_666401_NODE_444_length_1001_cov_915.501082,Mammarenavirus lassaense,Rodent,Ondo ,Arenaviridae,12318,Liver,99.4
SEZONOWIFRR039_LIV_S79_666401,SEZONOWIFRR039_LIV_S79_666401_NODE_152_length_1616_cov_591.564003,Mammarenavirus lassaense,Rodent,Ondo ,Arenaviridae,47524,Liver,99.3
SEZONOWIFRR039_LIV_S79_666401,SEZONOWIFRR039_LIV_S79_666401_NODE_152_length_1616_cov_591.564003,Mammarenavirus lassaense,Rodent,Ondo ,Arenaviridae,47524,Liver,99.3
SEZONOWIFRR039_LIV_S79_666401,SEZONOWIFRR039_LIV_S79_666401_NODE_717_length_794_cov_1358.447699,Mammarenavirus lassaense,Rodent,Ondo ,Arenaviridae,27886,Liver,99.2
